Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
KARO,11.43,20,20,,,,
DELI SERDANG,16,12,12,,,,
LANGKAT,8,8,8,,,,
NIAS SELATAN,13.33,11.43,11.43,,,,
HUMBANG HASUNDUTAN,4,4,4,,,,
PAKPAK BHARAT,5,0.01,-,,,,
SAMOSIR,12,12,20,,,,
SERDANG BEDAGAI,13.33,20,20,,,,
BATU BARA,5.71,14.29,14.29,,,,
PADANG LAWAS UTARA,6.67,6.67,6.67,,,,
PADANG LAWAS,3.33,3.33,3.33,,,,
LABUHAN BATU SELATAN,20,8.57,8.57,,,,
LABUHAN BATU UTARA,0.01,2.86,2.94,,,,
NIAS UTARA,16,16,8,,,,
NIAS BARAT,12.5,15,15,,,,
KOTA SIBOLGA,15,25,25,,,,
KOTA TANJUNG BALAI,20,12,16,,,,
KOTA PEMATANG SIANTAR,10,23.33,23.33,,,,
KOTA TEBING TINGGI,8,8,8,,,,
KOTA MEDAN,10,10,10,,,,
KOTA BINJAI,10,16.67,16.67,,,,
KOTA PADANGSIDIMPUAN,20,13.33,13.33,,,,
KOTA GUNUNGSITOLI,12,12,12,,,,
SUMATERA BARAT,12.73,9.23,9.23,,,,
KEPULAUAN MENTAWAI,0.01,0.01,-,,,,
PESISIR SELATAN,0.01,4.44,4.44,,,,
SOLOK,8.57,8.57,8.57,,,,
SIJUNJUNG,8,10,10,,,,
TANAH DATAR,11.43,8.82,8.57,,,,
PADANG PARIAMAN,5.88,5,5,,,,
AGAM,7.5,2.27,2.27,,,,
LIMA PULUH KOTA,8.57,8.57,8.57,,,,
PASAMAN,3.33,5.71,5.71,,,,
SOLOK SELATAN,8,0.01,-,,,,
DHARMAS RAYA,8,4,4,,,,
PASAMAN BARAT,5.71,2.5,2.5,,,,
KOTA PADANG,6.82,15.56,15.56,,,,
KOTA SOLOK,5,10,5,,,,
KOTA SAWAH LUNTO,25,20,20,,,,
KOTA PADANG PANJANG,25,20,20,,,,
KOTA BUKITTINGGI,16,8,8,,,,
KOTA PAYAKUMBUH,8,8,8,,,,
KOTA PARIAMAN,10,5,5,,,,
RIAU,21.82,27.69,27.69,,,,
KUANTAN SINGINGI,2.86,11.43,8.57,,,,
INDRAGIRI HULU,17.14,10,12.5,,,,
INDRAGIRI HILIR,4.44,8.89,8.89,,,,
PELALAWAN,0.01,8.57,5.71,,,,
SIAK,8.57,5,5,,,,
KAMPAR,8.89,20,15.56,,,,
ROKAN HULU,8.57,11.11,11.11,,,,
BENGKALIS,7.5,15.56,8.89,,,,
ROKAN HILIR,15,8.57,6.67,,,,
KEPULAUAN MERANTI,12,10,16.67,,,,
KOTA PEKANBARU,15.56,15.56,15.56,,,,
KOTA DUMAI,6.67,16.67,16.67,,,,
JAMBI,17.78,12.73,12.73,,,,
KERINCI,3.33,16.67,10,,,,
MERANGIN,3.33,0.01,-,,,,
SAROLANGUN,6.67,5.71,5.71,,,,
BATANG HARI,20,17.14,17.14,,,,
MUARO JAMBI,14.29,14.29,14.29,,,,
TANJUNG JABUNG TIMUR,13.33,10,20,,,,
TANJUNG JABUNG BARAT,13.33,11.43,14.29,,,,
TEBO,3.33,17.14,14.29,,,,
BUNGO,6.67,20,17.14,,,,
KOTA JAMBI,11.11,15.56,20,,,,
KOTA SUNGAI PENUH,10,0.01,-,,,,
SUMATERA SELATAN,18.18,17.33,17.33,,,,
OGAN KOMERING ULU,17.14,11.43,11.43,,,,
OGAN KOMERING ILIR,6.67,8.89,8.89,,,,
MUARA ENIM,11.11,6.67,6.67,,,,
LAHAT,2.44,7.5,7.5,,,,
MUSI RAWAS,7.5,10,10,,,,
MUSI BANYUASIN,8.89,8.89,13.33,,,,
BANYU ASIN,17.78,8.89,11.11,,,,
OGAN KOMERING ULU SELATAN,5.71,10,7.5,,,,
OGAN KOMERING ULU TIMUR,13.33,6.67,8.89,,,,
OGAN ILIR,7.5,5,5,,,,
EMPAT LAWANG,23.33,11.43,11.43,,,,
PENUKAL ABAB LEMATANG ILIR,-,-,4,,,,
MUSI RAWAS UTARA,-,-,8,,,,
KOTA PALEMBANG,20,20,16,,,,
KOTA PRABUMULIH,12,12,12,,,,
KOTA PAGAR ALAM,12,16,12,,,,
KOTA LUBUKLINGGAU,16,13.33,13.33,,,,
BENGKULU,22.22,15.56,15.56,,,,
BENGKULU SELATAN,8,4,4,,,,
REJANG LEBONG,13.33,13.33,13.33,,,,
BENGKULU UTARA,10,10,10,,,,
KAUR,8,8,8,,,,
SELUMA,20,16.67,16.67,,,,
MUKOMUKO,4,8,8,,,,
LEBONG,16,28,28,,,,
KEPAHIANG,16,28,28,,,,
BENGKULU TENGAH,12,12,16,,,,
KOTA BENGKULU,26.67,25.71,25.71,,,,
LAMPUNG,17.57,14.12,13.1,,,,
LAMPUNG BARAT,20,2.5,8.57,,,,
TANGGAMUS,9.76,17.78,20,,,,
LAMPUNG SELATAN,13.33,10,10,,,,
LAMPUNG TIMUR,13.33,10,10.2,,,,
LAMPUNG TENGAH,12,4,6.12,,,,
LAMPUNG UTARA,11.11,6.67,8.89,,,,
WAY KANAN,17.14,15,17.95,,,,
TULANGBAWANG,12.5,15.56,20,,,,
PESAWARAN,17.14,22.22,22.73,,,,
PRINGSEWU,22.86,27.5,25,,,,
MESUJI,25,14.29,14.29,,,,
TULANGBAWANG BARAT,6.9,6.67,10,,,,
PESISIR BARAT,-,7.14,16,,,,
KOTA BANDAR LAMPUNG,11.11,10,10,,,,
KOTA METRO,24,28,32,,,,
KEP. BANGKA BELITUNG,11.11,8.89,8.89,,,,
BANGKA,13.33,14.29,14.29,,,,
BELITUNG,8,0.01,8,,,,
BANGKA BARAT,8,8,12,,,,
BANGKA TENGAH,12,12,8,,,,
BANGKA SELATAN,4,0.01,-,,,,
BELITUNG TIMUR,5,16,16,,,,
KOTA PANGKAL PINANG,8,6.67,6.67,,,,
KEP. RIAU,13.33,13.33,13.33,,,,
KARIMUN,6.67,10,10,,,,
BINTAN,20,20,20,,,,
NATUNA,5,10,10,,,,
LINGGA,0.01,0.01,-,,,,
KEPULAUAN ANAMBAS,5,10,10,,,,
KOTA BATAM,22.22,8,8,,,,
KOTA TANJUNG PINANG,12,26.67,26.67,,,,
DKI JAKARTA,27.17,17.92,17.92,,,,
KEPULAUAN SERIBU,27.17,17.92,17.92,,,,
KODYA JAKARTA SELATAN,27.17,17.92,17.92,,,,
KODYA JAKARTA TIMUR,27.17,17.92,17.92,,,,
KODYA JAKARTA PUSAT,27.17,17.92,17.92,,,,
KODYA JAKARTA BARAT,27.17,17.92,17.92,,,,
KODYA JAKARTA UTARA,27.17,17.92,17.92,,,,
JAWA BARAT,22,22,22,,,,
BOGOR,18,18,18,,,,
SUKABUMI,16,12,12,,,,
CIANJUR,16,16,18,,,,
BANDUNG,2.22,28,24,,,,
GARUT,16,14,14,,,,
TASIKMALAYA,18,16,14,,,,
CIAMIS,8,10,10,,,,
KUNINGAN,12,22,22,,,,
CIREBON,16,28,28,,,,
MAJALENGKA,14,14,14,,,,
SUMEDANG,14,22,18,,,,
INDRAMAYU,22,22,28,,,,
SUBANG,6,14,16,,,,
PURWAKARTA,24.44,24.44,24.44,,,,
KARAWANG,14,20,20,,,,
BEKASI,16,10,12,,,,
BANDUNG BARAT,20,16,6,,,,
PANGANDARAN,-,14.29,14.29,,,,
KOTA BOGOR,17.78,15.56,15.56,,,,
KOTA SUKABUMI,13.33,14.29,14.29,,,,
KOTA BANDUNG,18,6,6,,,,
KOTA CIREBON,11.54,25.71,25.71,,,,
KOTA BEKASI,16,16,16,,,,
KOTA DEPOK,34,38,38,,,,
KOTA CIMAHI,5,26.09,26.67,,,,
KOTA TASIKMALAYA,4.44,4.44,11.11,,,,
KOTA BANJAR,8,4,4,,,,
JAWA TENGAH,21,24,24.24,,,,
CILACAP,14,18,18,,,,
BANYUMAS,18,18,18,,,,
PURBALINGGA,22.22,26.67,26.67,,,,
BANJARNEGARA,14,20,17.78,,,,
KEBUMEN,26.53,26,26,,,,
PURWOREJO,17.78,17.78,17.78,,,,
WONOSOBO,6.52,4.44,4.65,,,,
MAGELANG,6.52,14,14,,,,
BOYOLALI,15.56,11.11,11.11,,,,
KLATEN,18,6,6,,,,
SUKOHARJO,11.11,15.56,15.56,,,,
WONOGIRI,10,8.89,8.89,,,,
KARANGANYAR,17.78,24.44,22.22,,,,
SRAGEN,6.67,8.89,8.89,,,,
GROBOGAN,18,14,14,,,,
BLORA,26.67,17.78,18.18,,,,
REMBANG,20,17.78,20,,,,
PATI,18,16,16,,,,
KUDUS,13.33,6.67,6.67,,,,
JEPARA,6,6,6,,,,
DEMAK,16,14,14,,,,
SEMARANG,22.22,20,20,,,,
TEMANGGUNG,17.78,31.11,31.11,,,,
KENDAL,14.29,22.22,22.22,,,,
BATANG,22.22,22.22,22.22,,,,
PEKALONGAN,24.44,24.44,24.44,,,,
PEMALANG,22,16,16,,,,
TEGAL,6,20,34.62,,,,
BREBES,10.42,16,15.22,,,,
KOTA MAGELANG,12,24,20,,,,
KOTA SURAKARTA,25,17.78,17.78,,,,
KOTA SALATIGA,28,28,28,,,,
KOTA SEMARANG,18,24,24,,,,
KOTA PEKALONGAN,23.33,16.67,20,,,,
KOTA TEGAL,20,33.33,33.33,,,,
DI YOGYAKARTA,21.82,10.91,12.73,,,,
KULON PROGO,10,15,17.5,,,,
BANTUL,13.33,6.67,6.67,,,,
GUNUNG KIDUL,13.33,15.56,13.33,,,,
SLEMAN,18,26,24,,,,
KOTA YOGYAKARTA,15,25,25,,,,
JAWA TIMUR,19,15,15,,,,
PACITAN,15.56,15,15,,,,
PONOROGO,14,11.11,11.11,,,,
TRENGGALEK,17.78,11.11,11.11,,,,
TULUNGAGUNG,2,10,10,,,,
BLITAR,8,20,20,,,,
KEDIRI,26,26,26,,,,
MALANG,20,14,18,,,,
LUMAJANG,8,18,18,,,,
JEMBER,10,20.41,20.41,,,,
BANYUWANGI,18,18,18,,,,
BONDOWOSO,4.44,4.44,4.44,,,,
SITUBONDO,24.44,20,22.22,,,,
PROBOLINGGO,14,24.44,24.44,,,,
PASURUAN,24,12,12,,,,
SIDOARJO,16,14,14,,,,
MOJOKERTO,20,18.37,24,,,,
JOMBANG,6,22,22,,,,
NGANJUK,16,22.22,20,,,,
MADIUN,11.11,11.11,11.11,,,,
MAGETAN,17.78,6.67,6.67,,,,
NGAWI,15.56,20,20,,,,
BOJONEGORO,18,14,14,,,,
TUBAN,20,10,10.2,,,,
LAMONGAN,12,18,20,,,,
GRESIK,16,12,12,,,,
BANGKALAN,2.22,0.01,-,,,,
SAMPANG,2.22,2.22,2.22,,,,
PAMEKASAN,4.44,6.67,6.67,,,,
SUMENEP,6,6,6,,,,
KOTA KEDIRI,23.33,33.33,33.33,,,,
KOTA BLITAR,16,12,12,,,,
KOTA MALANG,24.44,24.44,24.44,,,,
KOTA PROBOLINGGO,33.33,16.67,16.67,,,,
KOTA PASURUAN,8,3.33,6.67,,,,
KOTA MOJOKERTO,12,24,24,,,,
KOTA MADIUN,33.33,33.33,33.33,,,,
KOTA SURABAYA,30,34,34,,,,
KOTA BATU,32,32,20,,,,
BANTEN,17.65,17.65,18.82,,,,
PANDEGLANG,12,12,12,,,,
LEBAK,14,14,14,,,,
TANGERANG,10,14,14,,,,
SERANG,10,16,14,,,,
KOTA TANGERANG,14,20,18,,,,
KOTA CILEGON,14.29,14.29,11.43,,,,
KOTA SERANG,17.78,15.56,15.56,,,,
KOTA TANGERANG SELATAN,17.78,22,18,,,,
BALI,9.09,9.09,9.09,,,,
JEMBRANA,20,11.43,11.43,,,,
TABANAN,5,7.5,7.5,,,,
BADUNG,2.5,2.5,5,,,,
GIANYAR,7.5,7.5,7.5,,,,
KLUNGKUNG,12,16.67,16.67,,,,
BANGLI,13.33,6.67,6.67,,,,
KARANG ASEM,5,5,4.44,,,,
BULELENG,8.89,13.04,13.33,,,,
KOTA DENPASAR,4.44,2.22,2.22,,,,
NUSA TENGGARA BARAT,10.91,9.23,9.23,,,,
LOMBOK BARAT,4.44,15.56,15.56,,,,
LOMBOK TENGAH,8.89,8,8,,,,
LOMBOK TIMUR,8,4,4,,,,
SUMBAWA,2.5,2.22,2.17,,,,
DOMPU,10,10,10,,,,
BIMA,2.5,11.11,8.89,,,,
SUMBAWA BARAT,4,0.01,-,,,,
LOMBOK UTARA,4,6.67,6.67,,,,
KOTA MATARAM,8.57,12.5,12.5,,,,
KOTA BIMA,8,12,12,,,,
NUSA TENGGARA TIMUR,7.27,9.23,10.77,,,,
SUMBA BARAT,0.01,16,12,,,,
SUMBA TIMUR,13.33,6.67,6.67,,,,
KUPANG,11.43,14.29,11.43,,,,
TIMOR TENGAH SELATAN,15,12.5,12.5,,,,
TIMOR TENGAH UTARA,10,6.67,6.67,,,,
BELU,20,33.33,36.67,,,,
ALOR,4,6.67,6.67,,,,
LEMBATA,8,0.01,-,,,,
FLORES TIMUR,6.67,0.01,-,,,,
SIKKA,6.67,8.57,8.57,,,,
ENDE,10,3.33,3.33,,,,
NGADA,10,16,20,,,,
MANGGARAI,10,11.43,11.43,,,,
ROTE NDAO,16,4,4,,,,
MANGGARAI BARAT,0.01,3.33,3.33,,,,
SUMBA TENGAH,6.67,0.01,-,,,,
SUMBA BARAT DAYA,0.01,0.01,2.86,,,,
NAGEKEO,0.01,0.01,-,,,,
MANGGARAI TIMUR,3.33,3.33,3.33,,,,
SABU RAIJUA,0.01,5,25,,,,
MALAKA,-,20,20,,,,
KOTA KUPANG,3.33,12.5,12.5,,,,
KALIMANTAN BARAT,7.27,10.77,10.77,,,,
SAMBAS,11.11,8.89,8.89,,,,
BENGKAYANG,10.34,10,10,,,,
LANDAK,5.71,14.29,14.29,,,,
PONTIANAK,4.44,13.33,13.33,,,,
SANGGAU,14.29,12.5,12.5,,,,
KETAPANG,5,8.89,8.89,,,,
SINTANG,11.43,5.71,5.71,,,,
KAPUAS HULU,6.67,10,10,,,,
SEKADAU,8,0.01,-,,,,
MELAWI,0.01,6.67,6.67,,,,
KAYONG UTARA,0.01,8,8,,,,
KUBU RAYA,4.44,11.11,11.11,,,,
KOTA PONTIANAK,13.33,15.56,15.56,,,,
KOTA SINGKAWANG,8,10,10,,,,
KALIMANTAN TENGAH,15.56,26.67,26.67,,,,
KOTAWARINGIN BARAT,16.67,20,20,,,,
KOTAWARINGIN TIMUR,14.29,22.5,22.5,,,,
KAPUAS,14.29,15,21.62,,,,
BARITO SELATAN,24,36,36,,,,
BARITO UTARA,24,32,36,,,,
SUKAMARA,25,20,20,,,,
LAMANDAU,5,5,5,,,,
SERUYAN,16,20,20,,,,
KATINGAN,20,12,12,,,,
PULANG PISAU,28,28,28,,,,
GUNUNG MAS,35,28,28,,,,
BARITO TIMUR,10,10,20,,,,
MURUNG RAYA,10,16,16,,,,
KOTA PALANGKA RAYA,16,33.33,33.33,,,,
KALIMANTAN SELATAN,12.73,14.55,16.36,,,,
TANAH LAUT,13.33,16.67,20,,,,
KOTA BARU,22.86,22.86,22.86,,,,
BANJAR,20,20,24.44,,,,
BARITO KUALA,6.67,14.29,14.29,,,,
TAPIN,16,16,16,,,,
HULU SUNGAI SELATAN,10,13.33,13.33,,,,
HULU SUNGAI TENGAH,23.33,23.33,23.33,,,,
HULU SUNGAI UTARA,10,16.67,16.67,,,,
TABALONG,-,23.33,23.33,,,,
TANAH BUMBU,2.86,8.57,8.57,,,,
BALANGAN,8,12,12,,,,
KOTA BANJARMASIN,28.89,17.78,17.78,,,,
KOTA BANJAR BARU,12,20,20,,,,
KALIMANTAN TIMUR,20,9.09,10.91,,,,
PASIR,12,16.67,20,,,,
KUTAI BARAT,4,16,16,,,,
KUTAI KARTANEGARA,2.22,6.67,8.89,,,,
KUTAI TIMUR,13.33,15,15,,,,
BERAU,12,10,10,,,,
MALINAU,-,-,-,,,,
BULUNGAN,-,-,-,,,,
NUNUKAN,-,-,-,,,,
PENAJAM PASER UTARA,16,4,4,,,,
TANA TIDUNG,-,-,-,,,,
MAHAKAM ULU,-,25,20,,,,
KOTA BALIKPAPAN,22.22,17.78,17.78,,,,
KOTA SAMARINDA,6.67,20,24.44,,,,
KOTA TARAKAN,-,-,-,,,,
KOTA BONTANG,24,8,8,,,,
KALIMANTAN UTARA,-,20,20,,,,
MALINAU,15,15,15,,,,
BULONGAN,16,4,4,,,,
TANA TIDUNG,20,10,10,,,,
NUNUKAN,24,20,20,,,,
KOTA TARAKAN,12,4,4,,,,
SULAWESI UTARA,28.89,28.89,36.36,,,,
BOLAANG MONGONDOW,20,23.33,20,,,,
MINAHASA,28.57,28.57,31.43,,,,
KEPULAUAN SANGIHE,16,20,24,,,,
KEPULAUAN TALAUD,15,15,5,,,,
MINAHASA SELATAN,20,26.67,26.67,,,,
MINAHASA UTARA,32,20,19.35,,,,
BOLAANG MONGONDOW UTARA,5,5,15,,,,
SIAU TAGULANDANG BIARO,25,30,30,,,,
MINAHASA TENGGARA,32,20,32,,,,
BOLAANG MONGONDOW SELATAN,25,15,20,,,,
BOLAANG MONGONDOW TIMUR,15,20,20,,,,
KOTA MANADO,20,40,32.5,,,,
KOTA BITUNG,28,13.33,20,,,,
KOTA TOMOHON,35,35,40,,,,
KOTA KOTAMOBAGU,20,16,12,,,,
SULAWESI TENGAH,20,15.56,15.56,,,,
BANGGAI KEPULAUAN,16,0.01,4,,,,
BANGGAI,17.14,20,20,,,,
MOROWALI,12,16,16,,,,
POSO,0.01,13.33,13.33,,,,
DONGGALA,16.67,6.67,6.67,,,,
TOLI-TOLI,20,23.33,23.33,,,,
BUOL,24,24,24,,,,
PARIGI MOUTONG,4,10,10,,,,
TOJO UNA-UNA,12.5,4,4,,,,
SIGI,16.67,16.67,10,,,,
BANGGAI LAUT,-,5,5,,,,
MOROWALI UTARA,-,20,20,,,,
KOTA PALU,20,14.29,8.57,,,,
SULAWESI SELATAN,16,17.65,18.82,,,,
KEPULAUAN SELAYAR,12,12,16,,,,
BULUKUMBA,10,17.5,17.5,,,,
BANTAENG,28,32,32,,,,
JENEPONTO,14.29,20,20,,,,
TAKALAR,20,20,26.67,,,,
GOWA,28.89,17.78,17.78,,,,
SINJAI,13.33,26.67,26.67,,,,
MAROS,14.29,17.14,20,,,,
PANGKAJENE DAN KEPULAUAN,11.43,8.57,8.57,,,,
BARRU,20,24,24,,,,
BONE,15.56,13.33,13.33,,,,
SOPPENG,13.33,16.67,16.67,,,,
WAJO,17.14,17.5,17.5,,,,
SIDENRENG RAPPANG,6.9,2.86,2.86,,,,
PINRANG,11.43,7.5,7.5,,,,
ENREKANG,10,6.67,6.67,,,,
LUWU,11.43,11.43,11.43,,,,
TANA TORAJA,13.33,20,20,,,,
LUWU UTARA,2.86,5.71,5.71,,,,
LUWU TIMUR,3.33,3.33,3.33,,,,
TORAJA UTARA,13.33,8.57,8.57,,,,
KOTA MAKASSAR,12,16,16,,,,
KOTA PARE-PARE,16,12,12,,,,
KOTA PALOPO,20,20,20,,,,
SULAWESI TENGGARA,13.33,15.56,20,,,,
BUTON,20,28,14.29,,,,
MUNA,10,6.67,10,,,,
KONAWE,13.33,23.33,20,,,,
KOLAKA,14.29,10,13.33,,,,
KONAWE SELATAN,10,37.14,37.14,,,,
BOMBANA,12,8,8,,,,
WAKATOBI,8,16,16,,,,
KOLAKA UTARA,4,4,4,,,,
BUTON UTARA,15,15,10,,,,
KONAWE UTARA,5,10,10,,,,
KOLAKA TIMUR,-,12,12,,,,
KONAWE KEPULAUAN,-,5,12,,,,
MUNA BARAT,-,10,10,,,,
BUTON TENGAH,-,8,-,,,,
BUTON SELATAN,-,15.79,-,,,,
KOTA KENDARI,33.33,37.14,37.14,,,,
KOTA BAU-BAU,12,20,20,,,,
GORONTALO,17.78,26.67,28.89,,,,
BOALEMO,8,20,20,,,,
GORONTALO,15,22.86,22.86,,,,
POHUWATO,24,20,20,,,,
BONE BOLANGO,8,4,4.35,,,,
GORONTALO UTARA,12,16,16,,,,
KOTA GORONTALO,20,24,24,,,,
SULAWESI BARAT,11.11,13.33,15.56,,,,
MAJENE,24,16,20,,,,
POLEWALI MANDAR,15,20,20,,,,
MAMASA,8,6.67,6.67,,,,
MAMUJU,14.71,11.43,11.43,,,,
MAMUJU UTARA,12.5,6.67,6.67,,,,
MAMUJU TENGAH,-,20,24,,,,
MALUKU,33.33,26.67,26.67,,,,
MALUKU TENGGARA BARAT,5,12,12,,,,
MALUKU TENGGARA,12,12,8,,,,
MALUKU TENGAH,14.28,7.5,7.5,,,,
BURU,12,12,16,,,,
KEPULAUAN ARU,0.01,0.01,4,,,,
SERAM BAGIAN BARAT,8,6.67,6.67,,,,
SERAM BAGIAN TIMUR,0.01,8,8,,,,
MALUKU BARAT DAYA,5,0.01,-,,,,
BURU SELATAN,5,5,5,,,,
KOTA AMBON,2.85,11.43,11.43,,,,
KOTA TUAL,5,5,5,,,,
MALUKU UTARA,8.89,9.09,13.89,,,,
HALMAHERA BARAT,16,16,16,,,,
HALMAHERA TENGAH,20,10,10,,,,
KEPULAUAN SULA,4,0.01,-,,,,
HALMAHERA SELATAN,6.67,0.01,-,,,,
HALMAHERA UTARA,20,16.67,20,,,,
HALMAHERA TIMUR,0.01,5,5,,,,
PULAU MOROTAI,15,10,10,,,,
PULAU TALIABU,-,15,20,,,,
KOTA TERNATE,16,16.67,16.67,,,,
KOTA TIDORE KEPULAUAN,10,8,12,,,,
PAPUA BARAT,13.64,4.44,4.44,,,,
FAKFAK,10,20,20,,,,
KAIMANA,10,25,25,,,,
TELUK WONDAMA,20,15,15,,,,
TELUK BINTUNI,0.01,5,5,,,,
MANOKWARI,4,16,16,,,,
SORONG SELATAN,15.79,10,10,,,,
SORONG,5,8,8,,,,
RAJA AMPAT,10,35,35,,,,
TAMBRAUW,15,10,10,,,,
MAYBRAT,0.01,10,10,,,,
MANOKWARI SELATAN,-,30,30,,,,
PEGUNUNGAN ARFAK,-,15,15,,,,
KOTA SORONG,10,10,10,,,,
PAPUA,7.14,12.96,12.73,,,,
MERAUKE,20,10,10,,,,
JAYAWIJAYA,10,6.67,6.67,,,,
JAYAPURA,8,0.01,-,,,,
NABIRE,8,20,20,,,,
KEPULAUAN YAPEN,0.01,0.01,-,,,,
BIAK NUMFOR,4,12,12,,,,
PANIAI,3.33,0.01,-,,,,
PUNCAK JAYA,20.83,3.33,3.33,,,,
MIMIKA,12,8.33,-,,,,
BOVEN DIGOEL,0.01,5,5,,,,
MAPPI,10,8,8,,,,
ASMAT,5,4,4,,,,
YAHUKIMO,5.71,5.71,-,,,,
PEGUNUNGAN BINTANG,15,4,4,,,,
TOLIKARA,16.67,6.67,6.67,,,,
SARMI,5,10,10,,,,
KEEROM,10,0.01,-,,,,
WAROPEN,10,5,5,,,,
SUPIORI,30,15,15,,,,
MAMBERAMO RAYA,10,15,15,,,,
NDUGA,20,12,12,,,,
LANNY JAYA,16,0.01,-,,,,
MAMBERAMO TENGAH,5,5,5,,,,
YALIMO,5,0.01,-,,,,
PUNCAK,10.53,0.01,-,,,,
DOGIYAI,5,0.01,-,,,,
INTAN JAYA,0.01,0.01,-,,,,
DEIYAI,0.01,0.01,-,,,,
KOTA JAYAPURA,20.69,22.5,22.5,,,,
INDONESIA,18.04,17.32,17.32,,,,



Provinsi / Kabupaten / Kota,,,,,,,
,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2016,2017,2018,,,,
ACEH,16,14.81,14.81,,,,
SIMEULUE,-,15,10,,,,
ACEH SINGKIL,-,8,12,,,,
ACEH SELATAN,-,3.33,3.33,,,,
ACEH TENGGARA,-,13.33,16.67,,,,
ACEH TIMUR,-,10,12.5,,,,
ACEH TENGAH,-,3.33,10,,,,
ACEH BARAT,-,8,8,,,,
ACEH BESAR,-,2.86,2.86,,,,
PIDIE,-,17.5,15,,,,
BIREUEN,-,2.5,2.5,,,,
ACEH UTARA,-,2.22,4.44,,,,
ACEH BARAT DAYA,-,4,4,,,,
GAYO LUES,-,10,15,,,,
ACEH TAMIANG,-,30,33.33,,,,
NAGAN RAYA,-,16,16,,,,
ACEH JAYA,-,5,-,,,,
BENER MERIAH,-,4,12,,,,
PIDIE JAYA,-,4,4,,,,
KOTA BANDA ACEH,-,3.33,6.67,,,,
KOTA SABANG,-,30,30,,,,
KOTA LANGSA,-,8,8,,,,
KOTA LHOKSEUMAWE,-,8,8,,,,
KOTA SUBULUSSALAM,-,15,15,,,,
SUMATERA UTARA,15,15,17.17,,,,
NIAS,-,-,-,,,,
MANDAILING NATAL,-,7.5,5,,,,
TAPANULI SELATAN,-,13.33,13.33,,,,
TAPANULI TENGAH,-,5.71,5.71,,,,
TAPANULI UTARA,-,8.57,8.82,,,,
TOBA SAMOSIR,-,6.67,6.67,,,,
LABUHAN BATU,-,28.89,31.82,,,,
ASAHAN,-,15.56,15.56,,,,
SIMALUNGUN,-,12,12,,,,
DAIRI,-,5.71,11.43,,,,
KARO,-,20,20,,,,
DELI SERDANG,-,12,12,,,,
LANGKAT,-,8,6,,,,
NIAS SELATAN,-,11.43,20,,,,
HUMBANG HASUNDUTAN,-,4,4,,,,
PAKPAK BHARAT,-,-,-,,,,
SAMOSIR,-,20.83,20,,,,
SERDANG BEDAGAI,-,17.78,20,,,,
BATU BARA,-,14.29,14.29,,,,
PADANG LAWAS UTARA,-,6.67,6.67,,,,
PADANG LAWAS,-,3.33,3.33,,,,
LABUHAN BATU SELATAN,-,8.57,8.82,,,,
LABUHAN BATU UTARA,-,2.86,2.86,,,,
NIAS UTARA,-,8,12,,,,
NIAS BARAT,-,15,10.53,,,,
KOTA SIBOLGA,-,20,20,,,,
KOTA TANJUNG BALAI,-,16,16,,,,
KOTA PEMATANG SIANTAR,-,23.33,23.33,,,,
KOTA TEBING TINGGI,-,8,12,,,,
KOTA MEDAN,-,10,12,,,,
KOTA BINJAI,-,16.67,16.67,,,,
KOTA PADANGSIDIMPUAN,-,13.33,13.33,,,,
KOTA GUNUNGSITOLI,-,12,12,,,,
SUMATERA BARAT,10.77,10.77,10.77,,,,
KEPULAUAN MENTAWAI,-,-,-,,,,
PESISIR SELATAN,-,4.44,6.67,,,,
SOLOK,-,8.57,8.57,,,,
SIJUNJUNG,-,10,10,,,,
TANAH DATAR,-,8.57,11.43,,,,
PADANG PARIAMAN,-,5,5,,,,
AGAM,-,2.22,2.22,,,,
LIMA PULUH KOTA,-,8.57,8.57,,,,
PASAMAN,-,8.57,8.57,,,,
SOLOK SELATAN,-,-,-,,,,
DHARMAS RAYA,-,4,4,,,,
PASAMAN BARAT,-,2.5,2.5,,,,
KOTA PADANG,-,15.56,15.56,,,,
KOTA SOLOK,-,5,5,,,,
KOTA SAWAH LUNTO,-,20,20,,,,
KOTA PADANG PANJANG,-,20,20,,,,
KOTA BUKITTINGGI,-,8,8,,,,
KOTA PAYAKUMBUH,-,8,8,,,,
KOTA PARIAMAN,-,5,5,,,,
RIAU,27.69,28.13,28.13,,,,
KUANTAN SINGINGI,-,5.71,5.71,,,,
INDRAGIRI HULU,-,12.5,10,,,,
INDRAGIRI HILIR,-,8.89,8.89,,,,
PELALAWAN,-,5.71,5.71,,,,
SIAK,-,2.5,5,,,,
KAMPAR,-,15.56,15.56,,,,
ROKAN HULU,-,13.33,13.33,,,,
BENGKALIS,-,8.89,8.89,,,,
ROKAN HILIR,-,5.77,5.77,,,,
KEPULAUAN MERANTI,-,14.81,16.67,,,,
KOTA PEKANBARU,-,16.28,11.11,,,,
KOTA DUMAI,-,13.33,13.33,,,,
JAMBI,12.73,14.55,16.98,,,,
KERINCI,-,10,10,,,,
MERANGIN,-,-,-,,,,
SAROLANGUN,-,8.57,8.57,,,,
BATANG HARI,-,17.14,17.14,,,,
