Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
BENGKULU TENGAH,0.01,4.55,12,,,,
KOTA BENGKULU,16.67,26.67,26.67,,,,
LAMPUNG,18.92,18.67,20,,,,
LAMPUNG BARAT,20,20,20,,,,
TANGGAMUS,15.38,6.67,6.82,,,,
LAMPUNG SELATAN,13.33,13.33,13.33,,,,
LAMPUNG TIMUR,13.33,13.33,13.33,,,,
LAMPUNG TENGAH,10,10,10,,,,
LAMPUNG UTARA,8.89,11.11,11.11,,,,
WAY KANAN,12.5,10,10,,,,
TULANGBAWANG,15.38,15,12.5,,,,
PESAWARAN,17.14,17.14,17.14,,,,
PRINGSEWU,12.9,22.86,22.86,,,,
MESUJI,24,24,25,,,,
TULANGBAWANG BARAT,16.67,6.9,6.9,,,,
PESISIR BARAT,-,-,-,,,,
KOTA BANDAR LAMPUNG,11.11,13.33,13.33,,,,
KOTA METRO,84,28,28,,,,
KEP. BANGKA BELITUNG,11.11,11.11,11.11,,,,
BANGKA,13.33,10,13.33,,,,
BELITUNG,8,8,8,,,,
BANGKA BARAT,8,12,12,,,,
BANGKA TENGAH,12,4,4,,,,
BANGKA SELATAN,4,8,8,,,,
BELITUNG TIMUR,0.01,5,5,,,,
KOTA PANGKAL PINANG,4,4,8,,,,
KEP. RIAU,13.33,15.56,11.96,,,,
KARIMUN,6.67,6.67,6.67,,,,
BINTAN,8,20,20,,,,
NATUNA,4,5,5.26,,,,
LINGGA,0.01,0.01,0.01,,,,
KEPULAUAN ANAMBAS,5.26,5,5,,,,
KOTA BATAM,17.78,22.22,22.22,,,,
KOTA TANJUNG PINANG,8,12,12,,,,
DKI JAKARTA,23.4,24.47,24.47,,,,
KEPULAUAN SERIBU,23.4,24.47,24.47,,,,
KODYA JAKARTA SELATAN,23.4,24.47,24.47,,,,
KODYA JAKARTA TIMUR,23.4,24.47,24.47,,,,
KODYA JAKARTA PUSAT,23.4,24.47,24.47,,,,
KODYA JAKARTA BARAT,23.4,24.47,24.47,,,,
KODYA JAKARTA UTARA,23.4,24.47,24.47,,,,
JAWA BARAT,24,24,24,,,,
BOGOR,16,16,18,,,,
SUKABUMI,16,16,16,,,,
CIANJUR,16,16,14,,,,
BANDUNG,20,20,20,,,,
GARUT,16,16,16,,,,
TASIKMALAYA,14,14,14.29,,,,
CIAMIS,8,8,8,,,,
KUNINGAN,12,12,12,,,,
CIREBON,14,14,14,,,,
MAJALENGKA,10,10,12,,,,
SUMEDANG,16,16,12.24,,,,
INDRAMAYU,20,20,22,,,,
SUBANG,6,6,6,,,,
PURWAKARTA,20,20,24.44,,,,
KARAWANG,12,12,14.29,,,,
BEKASI,14,14,14,,,,
BANDUNG BARAT,20,20,20.83,,,,
PANGANDARAN,-,-,-,,,,
KOTA BOGOR,17.78,17.78,17.78,,,,
KOTA SUKABUMI,10,10,10,,,,
KOTA BANDUNG,18,18,18,,,,
KOTA CIREBON,6.9,6.9,6.67,,,,
KOTA BEKASI,14,14,18.75,,,,
KOTA DEPOK,34,34,38,,,,
KOTA CIMAHI,20,20,22.22,,,,
KOTA TASIKMALAYA,6.67,6.67,6.67,,,,
KOTA BANJAR,12,12,8,,,,
JAWA TENGAH,19,19,19,,,,
CILACAP,14,14,14,,,,
BANYUMAS,20,20,20,,,,
PURBALINGGA,22.22,22.22,22.22,,,,
BANJARNEGARA,12,16,14,,,,
KEBUMEN,26,26,26,,,,
PURWOREJO,11.11,8.89,11.11,,,,
WONOSOBO,6.67,6.67,6.67,,,,
MAGELANG,8,8,8,,,,
BOYOLALI,15.56,15.56,15.56,,,,
KLATEN,18,18,18,,,,
SUKOHARJO,13.33,13.33,13.33,,,,
WONOGIRI,10,10,10,,,,
KARANGANYAR,15.56,13.33,13.33,,,,
SRAGEN,6.82,6.67,6.67,,,,
GROBOGAN,18,18,18,,,,
BLORA,28.89,27.27,27.27,,,,
REMBANG,20,22.22,22.22,,,,
PATI,14,16,16,,,,
KUDUS,13.33,13.33,13.33,,,,
JEPARA,6,6,6,,,,
DEMAK,18,18.37,18,,,,
SEMARANG,22.22,22.22,20,,,,
TEMANGGUNG,17.78,17.78,17.78,,,,
KENDAL,14,14.29,12.24,,,,
